reactive_energy_cost,imbalance_cost,harmonic_cost,neutral_current_cost,baseline_active_energy_cost
14925,67087.9999999986,3.2095098,3643.5675,215475
9450,68961.9999999998,3.2445765,1065.9675,212400
7350,72500.0000000016,3.246804,5663.7075,212475
5700,63953.9999999989,3.246804,184.8675,209550
6750,51987.9999999995,3.2458239,514.83,206625
12750,59384.0000000012,3.216213,1316.7075,205575
11175,63396.0000000007,3.2177124,2260.5075,206100
20250,62496.0000000005,3.1826961,592.2075,202725
27525,52602.9999999996,3.1467744,1146.6075,200325
15000,53018.9999999991,3.2183298,3072,201000
36150,33709.4999999997,3.1456512,1476.9513,201000
28800,37047.7799999998,3.1466016,2420.854425,199575
4500,54288.0000000005,3.2564268,711.48,199725
8100,51359.9999999989,3.2550012,1677.9675,200175
9000,49082.0000000008,3.2540211,3791.4075,201600
9225,53775.0000000004,3.2202702,495.3675,204450
29100,46065.0000000006,3.1790295,4343.4075,204750
26775,49920.0000000007,3.180339,119.07,208425
4950,63444.0000000006,3.254823,826.68,207225
7350,65884.0000000013,3.2537538,1471.8675,213825
9525,62450,3.2550012,168.75,228375
10425,63699.9999999995,3.2544666,403.68,231750
10050,63070.0000000001,3.2558922,1.47,228525
7275,57792.0000000005,3.2586543,2211.3675,223350
25425,51197.9999999985,3.188196,1927.8675,221175
31500,47920.0000000007,3.1875849,1004.67,221250
13425,56938.0000000011,3.2293548,4263.87,221850
12000,57459.9999999996,3.263733,1380.3075,219525
8325,56500,3.2651586,0.48,218250
21075,55613.9999999992,3.2242392,85.8675,217575
29175,56672.000000001,3.1893309,2059.32,217650
12600,64978.0000000002,3.2304132,1793.4075,221475
6825,66989.9999999997,3.2668515,697.6875,223725
8925,62526.0000000006,3.2650695,887.52,226950
10800,60221.0000000011,3.2613273,934.5675,229950
12000,57433.9999999999,3.2613273,2754.27,228300
